Player,Salary 
Jacob Murphy,"£1,300,000"
Jadon Sancho,"£18,200,000"
Jaidon Anthony,"£1,300,000"
Jake Vokins,"£1,100,000"
Jakub Kiwior,"£2,764,667"
Jamaal Lascelles,"£2,080,000"
Jamal Lewis,"£2,000,000"
James Garner,"£1,560,000"
James Tarkowski,"£5,200,000"
James Ward-Prowse,"£2,340,000"
Jamie Vardy,"£7,280,000"
Jan Bednarek,"£1,040,000"
Jannik Vestergaard,"£3,390,000"
Japhet Tanganga,"£1,200,000"
Jared Bowen,"£5,000,000"
Jason Steele,"£833,333"
Javier Manquillo,"£1,820,000"
Jay Rodriguez,"£1,820,000"
Jayden Bogle,"£858,000"
Jean-Philippe Gbamin,"£3,900,000"
Jean-Philippe Mateta,"£2,775,000"
Jeff Hendrick,"£2,100,000"
Jeffrey Schlupp,"£2,912,000"
Joachim Andersen,"£4,130,000"
Joao Cancelo,"£4,160,000"
João Palhinha,"£2,600,000"
Joe Aribo,"£3,640,000"
Joe Gelhardt,"£860,000"
Joe Gomez,"£3,900,000"
Joe Willock,"£1,040,000"
Joel Ward,"£1,820,000"
Joelinton Cassio Apolinário de Lira,"£4,500,000"
Jóhann Berg Guðmundsson,"£1,560,000"
John Stones,"£13,000,000"
Jonjo Shelvey,"£3,900,000"
Jonny Otto,"£1,907,000"
Jordan Pickford,"£5,208,333"
Jorge Luiz Frello Filho,"£5,720,000"
José Sá,"£1,490,000"
Josh Brownhill,"£2,080,000"
Josh Dasilva,"£936,000"
Julian Álvarez,"£2,600,000"
Junior Firpo,"£2,200,000"
Kalvin Phillips,"£7,800,000"
Karl Darlow,"£1,300,000"
Keane Lewis-Potter,"£1,820,000"
Keinan Davis,"£2,340,000"
Kelechi Iheanacho,"£3,120,000"
Kenny Tete,"£2,650,000"
Kepa Arrizabalaga,"£7,800,000"
Kevin De Bruyne,"£20,800,000"
Kevin Mbabu,"£2,080,000"
Kieffer Moore,"£920,000"
Kieran Tierney,"£5,720,000"
Kieran Trippier,"£6,250,000"
Kiernan Dewsbury-Hall,"£970,000"
Ki-Jana Hoever,"£2,100,000"
Kiko Femenia,"£1,040,000"
Konstantinos Tsimikas,"£3,120,000"
Kristoffer Ajer,"£1,150,000"
Kurt Zouma,"£6,240,000"
Kyle Walker,"£5,720,000"
Kyle Walker-Peters,"£1,200,000"
Leandro Trossard,"£4,680,000"
Leon Bailey,"£5,200,000"
Lewis Cook,"£2,080,000"
Lewis Dunk,"£2,340,000"
Lisandro Martínez,"£6,240,000"
Lloyd Kelly,"£1,560,000"
Lucas Digne,"£7,650,000"
Lucas Paquetá,"£7,800,000"
Luis Díaz,"£2,669,333"
Luis Sinisterra,"£3,380,000"
Lukasz Fabianski,"£3,380,000"
Lyanco Vojnovic,"£2,500,000"
Lyle Foster,"£1,040,000"
Malang Sarr,"£6,240,000"
Manuel Akanji,"£9,360,000"
Manuel Benson,"£860,000"
Manuel Lanzini,"£3,640,000"
Marc Albrighton,"£2,340,000"
Marc Cucurella,"£9,100,000"
Marc Guehi,"£2,610,000"
Marc Roca,"£2,600,000"
Marcos Senesi,"£2,600,000"
Marcus Bettinelli,"£1,820,000"
Marcus Rashford,"£10,400,000"
Marcus Tavernier,"£1,040,000"
Mario Lemina,"£2,340,000"
Mark Travers,"£1,040,000"
Martin Dubravka,"£1,976,000"
Martin Ødegaard,"£4,110,000"
Marvelous Nakamba,"£1,690,000"
Mason Greenwood,"£3,900,000"
Mason Holgate,"£1,300,000"
Matheus Nunes,"£4,420,000"
Mathias Jensen,"£1,040,000"
Mathias Jorgensen,"£2,600,000"
Matt Ritchie,"£2,340,000"
Matt Targett,"£5,200,000"
Matt Turner,"£1,820,000"
Matty Cash,"£3,380,000"
Max Aarons,"£1,170,000"
Máximo Perrone,"£1,430,000"
Maxwel Cornet,"£3,380,000"
Michael Keane,"£3,380,000"
Michael Olise,"£2,470,000"
Michail Antonio,"£3,640,000"
Miguel Almiron,"£2,201,000"
Mikkel Damsgaard,"£1,560,000"
Mislav Orsic,"£3,466,667"
Mohamed Elneny,"£2,600,000"
Mohamed Salah,"£18,200,000"
Mohammed Salisu,"£1,200,000"
Moises Caicedo,"£3,120,000"
Morgan Gibbs-White,"£4,160,000"
Morgan Sanson,"£2,496,000"
Moussa Djenepo,"£4,290,000"
Moussa Niakhaté,"£2,340,000"
Mykhailo Mudryk,"£5,525,000"
Naouirou Ahamada,"£1,040,000"
Nathan Ake,"£4,800,000"
Nathan Patterson,"£810,000"
Nathaniel Phillips,"£3,360,000"
Nayef Aguerd,"£2,600,000"
Neal Maupay,"£2,600,000"
Neco Williams,"£2,600,000"
Nelson Semedo,"£4,000,000"
Nick Pope,"£3,120,000"
Nicolas Pepe,"£7,280,000"
Nikola Vlasic,"£3,640,000"
Noni Madueke,"£2,600,000"
Nuno Tavares,"£1,404,000"
Odsonne Edouard,"£4,930,000"
Oleksandr Zinchenko,"£7,800,000"
Ollie Watkins,"£3,900,000"
Omar Richards,"£1,560,000"
Onyinye Ndidi,"£3,900,000"
Orel Mangala,"£1,560,000"
Pablo Fornals,"£3,500,000"
Pablo Sarabia,"£4,680,000"
Pape Sarr,"£1,040,000"
Pascal Gross,"£2,600,000"
Pascal Struijk,"£2,600,000"
Patrick Bamford,"£1,820,000"
Patson Daka,"£3,230,000"
Pedro Neto,"£2,600,000"
Pervis Estupiñán,"£2,660,000"
Phil Foden,"£11,700,000"
Philip Billing,"£2,080,000"
Philippe Coutinho,"£6,500,000"
Pierre-Emerick Aubameyang,"£8,320,000"
Pierre-Emile Hojbjerg,"£5,300,000"
Raheem Sterling,"£16,900,000"
Raphael Varane,"£17,680,000"
Raul Jimenez,"£2,144,000"
Reece James,"£13,000,000"
Rhian Brewster,"£1,430,000"
Ricardo Pereira,"£3,640,000"
Richarlison de Andrade,"£4,680,000"
Riyad Mahrez,"£6,240,000"
Rob Holding,"£2,704,000"
Robin Koch,"£2,400,000"
Rodrigo Bentancur,"£3,900,000"
Rodrigo Hernández Cascante,"£11,440,000"
Rodrigo Machado,"£3,000,000"
Romain Perraud,"£2,040,000"
Romelu Lukaku,"£16,900,000"
Roméo Lavia,"£1,300,000"
Ruben Dias,"£9,013,333"
Rúnar Alex Rúnarsson,"£780,000"
Ryan Bertrand,"£2,300,000"
Ryan Christie,"£1,110,000"
Ryan Fraser,"£2,173,600"
Ryan Fredericks,"£1,820,000"
Ryan Sessegnon,"£3,000,000"
Ryan Yates,"£1,300,000"
Saïd Benrahma,"£1,200,000"
Sam Greenwood,"£1,560,000"
Samuel Bastien,"£780,000"
Sander Berge,"£1,700,000"
Sasa Lukic,"£3,603,600"
Scott Carson,"£1,560,000"
Scott McTominay,"£3,120,000"
Seamus Coleman,"£3,640,000"
Sean Longstaff,"£2,600,000"
Sékou Mara,"£1,300,000"
Serge Aurier,"£1,820,000"
Sergi Canós,"£780,000"
Sergio Gomez,"£2,600,000"
Sergio Reguilón,"£2,500,000"
Solly March,"£2,600,000"
Stefan Bajcetic,"£2,080,000"
Stefan Ortega,"£2,860,000"
Steve Cook,"£1,830,000"
Steven Alzate,"£780,000"
Sven Botman,"£4,680,000"
Taiwo Awoniyi,"£2,600,000"
Takehiro Tomiyasu,"£2,910,000"
Tanguy Ndombele,"£10,400,000"
Tariq Lamptey,"£1,820,000"
Terence Kongolo,"£1,140,000"
Thiago Alcántara do Nascimento,"£10,400,000"
Thiago Silva,"£8,580,000"
Thilo Kehrer,"£4,160,000"
Thomas McGill,"£1,040,000"
Thomas Partey,"£10,400,000"
Thomas Strakosha,"£1,300,000"
Tim Ream,"£1,560,000"
Timothy Castagne,"£3,276,000"
Tom Cairney,"£2,080,000"
Tom Heaton,"£2,180,000"
Tomas Soucek,"£3,500,000"
Tosin Adarabioyo,"£2,110,000"
Trent Alexander-Arnold,"£9,360,000"
Trevoh Chalobah,"£2,600,000"
Tyler Adams,"£2,860,000"
Tyrell Malacia,"£3,900,000"
Tyrick Mitchell,"£1,456,000"
Tyrone Mings,"£4,160,000"
Victor Lindelof,"£6,240,000"
Virgil Van Dijk,"£11,440,000"
Vitaliy Mykolenko,"£3,016,000"
Vladimir Coufal,"£1,600,000"
Wesley Fofana,"£10,400,000"
Wesley Moraes,"£1,820,000"
Wilfried Gnonto,"£1,040,000"
Will Hughes,"£2,860,000"
Will Smallbone,"£900,000"
William Saliba,"£2,080,000"
William Troost-Ekong,"£1,430,000"
Willy Boly,"£2,080,000"
Wout Faes,"£2,600,000"
Yoane Wissa,"£1,300,000"
Yves Bissouma,"£2,860,000"
